LocalId;GlobalId;Age;Gender;Region;CityCode;TotalSpent;TotalPur;FirstPur;LastPur;NovelPur;ChildPur;YouthPur;CookPur;DiyPur;RefPur;ArtPur;GeogPur;ProvCook;ProvAtlas;ProvArt;RelPur;ProvPur
41;333;36;0;SE;B;280;5;16/07/2011;30;3;0;1;1;0;0;0;0;1;0;0;1;No
42;340;25;0;SW;O;320;4;02/03/2011;28;1;0;0;2;0;0;1;0;0;0;0;1;No
43;345;NA;0;NE;Q;234;5;08/07/2013;4;3;0;0;0;0;0;0;0;0;0;0;0;No
44;347;54;0;NE;F;105;10;06/01/2011;8;3;1;1;1;0;2;0;1;0;0;0;1;No
45;353;38;1;SE;C;317;5;26/01/2012;10;2;0;0;0;0;0;1;1;0;0;0;2;No
46;354;30;1;NE;E;49;5;07/09/2011;22;2;0;0;1;1;0;1;0;0;0;0;1;No
47;356;59;1;SE;A;189;13;15/09/2008;16;4;1;0;1;3;1;1;2;0;0;0;3;No
48;391;21;0;NW;L;143;12;27/03/2011;14;3;2;2;1;1;1;2;0;0;0;0;2;No
49;397;52;0;NE;I;254;2;06/05/2013;8;0;0;0;0;0;0;0;0;0;0;0;0;No
50;401;32;0;SW;H;355;8;27/01/2012;16;3;1;0;2;0;1;1;0;0;0;0;1;No
51;405;28;1;SW;P;43;3;15/03/2012;24;1;1;0;0;0;0;1;0;0;0;0;1;No
52;409;42;0;NE;I;233;11;11/11/2009;30;3;0;1;2;2;0;2;1;0;0;0;3;No
53;411;51;0;NE;I;210;4;07/09/2012;2;1;0;1;0;0;0;0;1;0;0;0;1;No
54;436;21;1;SW;G;310;10;07/09/2011;22;5;1;1;0;1;0;2;0;0;0;0;2;No
55;438;18;0;NE;J;378;10;06/03/2010;10;3;0;1;1;1;0;2;1;0;0;0;3;No
56;439;20;1;NE;I;305;13;28/01/2011;6;4;2;1;1;1;0;2;1;0;0;0;3;No
57;440;74;0;SW;G;458;17;06/09/2010;10;5;1;0;3;1;1;2;0;2;1;1;6;Yes
58;444;36;0;SE;A;235;2;09/03/2013;14;1;0;0;0;0;0;1;0;0;0;0;1;No
59;450;56;0;NE;S;148;8;20/11/2011;22;5;1;0;2;0;0;0;0;0;0;0;0;No
60;453;62;0;NE;F;154;10;15/07/2010;10;3;0;1;0;1;0;1;3;0;0;0;4;Yes
61;477;56;1;NE;I;123;3;03/01/2013;12;1;1;0;0;0;0;0;0;0;0;0;0;Yes
62;480;14;0;NE;Q;118;3;20/07/2013;8;1;0;0;0;0;0;0;0;0;0;0;0;No
63;484;67;0;NE;E;329;10;15/05/2011;12;2;0;1;0;0;1;0;1;0;0;0;1;No
64;505;63;0;NE;S;350;9;19/01/2013;4;4;0;0;2;0;0;0;0;1;0;0;1;No
65;506;65;0;SW;G;235;4;12/03/2013;14;3;0;0;1;0;0;0;0;0;0;0;0;No
66;553;50;0;NE;J;126;11;22/05/2010;16;3;2;1;1;2;0;0;2;1;0;0;3;No
67;557;26;1;SE;R;274;4;24/01/2011;34;2;1;0;0;1;0;0;0;0;0;0;0;No
68;560;60;0;SW;N;299;6;09/03/2012;12;3;0;0;0;0;0;0;2;0;0;0;2;No
69;565;27;1;NE;Q;294;5;09/09/2012;10;2;0;1;0;0;1;0;0;0;0;0;0;No
70;567;62;0;NE;K;135;12;17/05/2009;16;4;3;1;0;1;0;2;1;0;0;2;5;No
71;579;70;1;NE;F;230;4;17/03/2013;10;2;1;0;0;0;0;0;0;0;0;0;0;No
72;582;35;0;NE;F;140;1;28/03/2014;2;0;0;0;0;0;0;0;0;0;0;0;0;Yes
73;585;21;0;NE;D;307;13;22/07/2010;24;4;3;2;0;2;2;0;0;0;0;0;0;No
74;592;28;0;NE;Q;201;2;09/09/2013;8;1;0;0;0;0;0;0;0;0;0;0;0;No
75;594;NA;0;SW;M;193;3;10/09/2012;16;1;1;0;0;0;0;1;0;0;0;0;1;No
76;609;62;0;NE;K;112;1;20/05/2011;36;0;0;0;1;0;0;0;0;0;0;0;0;No
77;612;40;1;SW;M;277;4;01/03/2013;14;3;0;0;1;0;0;0;0;0;0;0;0;No
78;619;33;0;NE;D;49;3;21/03/2013;10;1;0;0;0;1;0;0;0;0;0;0;0;No
79;625;56;0;NE;E;149;6;17/11/2012;6;3;0;0;0;0;1;0;0;0;0;0;0;No
80;633;34;0;NE;E;294;4;08/11/2011;24;2;0;0;1;0;1;0;0;0;0;0;0;No
81;644;59;0;NE;NA;302;7;03/09/2012;6;2;0;0;1;0;0;1;0;0;0;0;1;No
82;649;24;0;NE;D;138;3;13/07/2012;22;2;1;0;0;0;0;0;0;0;0;0;0;No
83;650;67;0;SW;H;195;5;23/01/2013;12;3;0;0;0;0;1;0;0;0;0;0;0;No
84;658;28;0;SW;O;101;4;28/07/2012;16;2;0;0;2;0;0;0;0;0;0;0;0;No
85;687;53;1;SW;M;178;12;05/09/2009;26;4;1;1;2;0;0;2;2;1;0;1;6;No
86;706;58;0;NE;J;128;4;28/01/2013;10;2;1;0;0;0;0;0;0;0;0;0;0;No
87;708;37;1;SW;N;277;14;19/11/2007;30;3;2;0;1;1;2;2;3;0;0;0;5;Yes
88;712;NA;0;SE;A;306;4;16/01/2013;10;2;0;0;0;0;0;1;0;0;0;0;1;No
89;721;53;0;SW;N;292;4;09/01/2011;32;2;0;0;0;1;0;1;0;0;0;1;2;No
90;723;65;0;SE;A;215;13;14/05/2011;2;5;0;0;0;0;1;3;2;0;0;0;5;Yes
91;743;NA;0;SW;M;240;4;21/09/2012;20;3;1;0;0;0;0;0;0;0;0;0;0;No
92;759;21;1;SE;C;208;2;23/01/2014;4;1;0;0;0;0;0;0;0;0;0;0;0;No
93;761;58;0;SE;C;141;3;11/07/2013;10;2;0;0;0;0;0;0;0;0;0;0;0;No
94;764;44;1;NW;L;253;3;12/03/2014;2;2;0;0;0;0;0;0;0;0;0;0;0;No
95;775;60;0;SW;N;258;11;21/05/2011;14;6;0;0;4;0;1;0;0;0;0;0;0;No
96;795;18;0;SW;N;453;16;02/07/2007;14;4;1;1;3;1;3;0;3;1;1;0;5;No
97;800;50;0;NW;L;240;1;12/05/2013;12;0;0;0;0;0;0;0;0;0;0;0;0;No
98;803;60;1;SW;P;187;11;20/11/2011;10;4;0;1;1;0;0;1;2;0;0;0;3;Yes
99;808;41;1;SW;G;271;3;26/11/2012;10;1;1;0;0;0;0;0;0;0;0;0;0;No
100;844;50;0;NE;S;288;1;15/07/2012;22;0;0;0;1;0;0;0;0;0;0;0;0;No
101;850;63;1;NE;Q;194;14;17/03/2009;12;4;3;1;2;1;1;0;1;0;0;0;1;No
102;874;34;0;SW;N;274;16;14/09/2008;14;5;4;1;2;1;0;1;2;2;0;1;6;No
103;876;23;1;NW;L;176;11;12/09/2012;6;4;2;1;1;0;0;0;0;1;0;0;1;No
104;883;62;0;NE;K;182;12;14/07/2011;4;2;2;2;0;1;0;0;1;0;0;0;1;No
105;903;43;1;SW;NA;64;5;08/09/2013;6;3;0;0;0;0;0;0;0;0;0;0;0;No
106;910;48;1;NE;K;95;2;03/03/2014;2;1;0;0;0;0;0;0;0;0;0;0;0;No
107;915;59;0;SW;M;308;2;08/01/2013;16;1;0;0;1;0;0;0;0;0;0;0;0;No
108;931;22;0;SW;P;166;2;25/01/2013;16;1;0;0;1;0;0;0;0;0;0;0;0;No
109;940;61;0;NE;Q;224;3;17/09/2011;28;1;0;0;0;1;0;1;0;0;0;1;2;No
110;942;57;1;SW;N;123;6;22/09/2011;14;2;1;0;1;0;0;1;0;0;0;0;1;No
111;950;15;0;SW;O;75;3;06/03/2013;14;2;0;1;0;0;0;0;0;0;0;0;0;No
112;954;NA;0;NE;E;137;2;25/01/2013;16;1;0;0;0;0;1;0;0;0;0;0;0;No
113;966;50;0;NE;E;266;9;24/11/2011;2;3;1;1;0;0;0;1;1;0;0;0;2;No
114;985;24;0;SE;B;258;3;27/05/2013;12;2;0;0;0;0;0;0;0;0;0;0;0;No
115;999;33;0;SW;M;419;13;05/05/2010;14;5;1;1;4;1;0;0;1;0;0;0;1;No
116;1002;33;1;NE;I;196;3;11/11/2013;2;1;0;0;0;0;0;0;0;0;0;0;0;No
117;1010;58;0;NE;I;31;4;01/11/2013;6;3;0;0;0;0;0;0;0;0;0;0;0;No
118;1011;57;0;SE;R;284;2;25/07/2013;10;1;0;0;0;0;0;0;0;0;0;0;0;No
119;1012;44;0;NE;I;268;3;14/11/2012;14;1;1;0;0;0;0;1;0;0;0;0;1;No
120;1048;18;0;SW;P;189;3;09/05/2013;12;2;0;0;0;0;0;0;0;0;0;0;0;No
121;1054;49;1;SW;N;74;4;12/05/2011;32;2;0;0;1;0;0;0;1;0;0;0;1;No
122;1075;25;0;SW;H;145;5;17/07/2012;16;3;1;1;0;0;0;0;0;0;0;0;0;No
123;1076;22;1;SE;R;139;2;20/07/2011;30;0;0;0;1;0;1;0;0;0;1;0;1;No
124;1082;34;0;SE;A;252;4;06/07/2013;10;3;0;0;0;0;0;0;0;0;0;0;0;No
125;1087;44;0;SW;O;60;1;13/07/2011;34;0;0;0;0;0;1;0;0;0;0;0;0;No
126;1088;64;1;SW;N;98;4;27/01/2013;12;2;1;0;0;0;0;0;0;0;0;0;0;No
127;1093;58;0;NE;D;263;12;08/07/2009;12;4;1;1;3;0;0;1;1;0;0;0;2;No
128;1095;63;0;SW;N;312;1;15/07/2013;10;0;0;0;0;0;0;0;0;0;0;0;0;No
129;1101;29;0;SE;R;257;2;20/03/2014;2;1;0;0;0;0;0;0;0;0;0;0;0;No
130;1103;49;0;NW;L;205;2;10/11/2013;4;0;0;0;0;0;0;0;0;0;0;0;0;No
131;1119;32;0;SW;P;285;2;19/07/2012;22;1;0;0;1;0;0;0;0;0;0;0;0;No
132;1121;37;0;SE;NA;122;1;25/01/2014;4;0;0;0;0;0;0;0;0;0;0;0;0;No
133;1123;26;0;NE;D;363;13;07/01/2012;2;1;0;1;2;1;0;1;1;1;0;0;3;No
134;1131;39;0;SW;P;302;3;07/07/2013;10;2;0;0;0;0;0;0;0;0;0;0;0;No
135;1138;51;0;NE;F;51;3;17/05/2013;4;1;0;0;0;0;0;0;0;0;0;0;0;No
136;1141;35;0;SW;G;35;3;19/07/2012;18;1;1;0;1;0;0;0;0;1;0;0;1;No
137;1142;62;1;NE;I;150;13;22/01/2012;2;3;1;1;1;2;1;0;0;0;1;0;1;No
138;1149;32;0;SW;M;136;3;07/11/2013;6;2;0;0;0;0;0;0;0;0;0;0;0;No
139;1151;37;0;NE;K;244;3;19/09/2011;32;2;0;0;1;0;0;0;0;0;0;0;0;No
140;1160;64;0;SE;B;64;4;17/09/2011;32;3;0;0;0;0;0;0;1;0;0;0;1;No
141;1161;35;0;SE;NA;89;5;12/11/2013;4;3;0;0;0;0;0;0;0;0;0;0;0;Yes
142;1169;47;0;SW;N;265;2;27/01/2013;16;1;0;0;1;0;0;0;0;0;0;0;0;No
143;1170;54;1;SW;G;163;3;05/03/2013;14;2;0;0;0;0;0;0;0;0;0;0;0;No
144;1172;64;0;SW;P;216;3;09/09/2012;14;1;1;0;1;0;0;0;0;0;0;0;0;No
145;1185;57;0;SW;G;283;14;05/07/2010;14;5;1;2;3;0;2;0;1;2;1;0;4;No
146;1195;60;0;NE;K;294;3;24/07/2012;14;1;0;1;0;0;1;0;0;0;0;0;0;No
147;1222;54;0;NE;E;307;9;25/05/2009;36;4;1;0;2;0;0;0;2;1;0;0;3;No
148;1227;32;0;SE;B;131;4;08/01/2013;16;3;0;0;0;0;0;1;0;0;0;0;1;No
149;1230;58;0;SE;R;359;11;05/05/2010;18;2;1;0;3;2;0;2;1;0;0;0;3;No
150;1238;43;1;NE;F;101;6;10/03/2012;14;2;0;2;0;0;2;0;0;0;0;0;0;No
151;1248;66;0;SE;A;246;5;07/11/2012;18;4;0;0;0;1;0;0;0;0;0;0;0;No
152;1253;15;1;SW;H;285;3;07/03/2013;12;1;1;0;0;0;0;0;0;0;0;0;0;No
153;1261;26;0;NE;Q;157;2;11/03/2012;26;1;1;0;0;0;0;0;0;0;0;0;0;No
154;1263;65;0;SW;M;120;7;17/05/2012;8;2;0;0;0;2;0;0;0;0;0;0;0;No
155;1283;67;0;NE;F;217;5;19/09/2012;14;3;1;0;0;0;1;0;0;0;0;0;0;No
156;1300;39;0;SW;N;200;12;24/11/2011;4;3;2;2;1;0;2;0;0;0;0;0;0;No
157;1313;69;0;NE;K;100;8;28/09/2011;12;4;0;0;0;2;1;0;0;0;0;0;0;No
158;1319;31;0;SW;O;309;12;09/01/2011;4;1;1;1;2;2;0;0;1;1;0;0;2;No
159;1323;29;1;SE;R;354;17;05/09/2009;6;7;1;3;4;1;0;0;0;0;0;0;0;No
160;1329;NA;0;SW;M;163;1;05/03/2014;2;0;0;0;0;0;0;0;0;0;0;0;0;No
161;1333;59;0;NE;I;66;6;04/09/2012;12;4;0;0;1;0;0;0;0;0;0;0;0;No
162;1352;39;0;SE;A;169;6;13/07/2011;16;2;1;0;0;0;0;0;3;0;0;0;3;No
163;1353;36;0;NW;L;224;1;03/01/2014;4;0;0;0;0;0;0;0;0;0;0;0;0;No
164;1357;42;1;SE;R;222;4;12/09/2012;16;2;0;1;1;0;0;0;0;1;0;0;1;No
165;1364;22;0;SE;A;477;17;06/09/2008;20;5;2;1;5;0;0;1;3;1;0;0;5;No
166;1366;39;0;SW;O;143;2;28/07/2013;10;1;0;0;0;0;0;0;0;0;0;0;0;No
167;1371;NA;0;NE;J;295;4;20/01/2011;32;2;2;0;0;0;0;0;0;0;0;0;0;No
168;1392;39;0;SW;H;69;1;11/03/2014;2;0;0;0;0;0;0;0;0;0;0;0;0;No
169;1394;54;0;NE;Q;275;13;22/03/2009;8;3;1;1;1;2;1;2;0;1;1;2;6;No
170;1406;56;0;SW;M;54;3;02/05/2012;12;0;1;0;0;0;0;1;0;0;0;0;1;No
171;1411;67;1;SW;M;201;11;07/11/2009;34;5;3;1;0;0;1;0;1;0;0;0;1;No
172;1442;63;0;NW;L;149;3;09/09/2013;8;2;0;0;0;0;0;0;0;0;0;0;0;No
173;1455;36;0;SW;NA;364;11;20/11/2009;14;3;2;2;2;0;0;1;1;1;0;0;3;No
174;1474;18;1;SE;C;86;8;12/01/2011;14;3;1;0;0;0;2;2;0;0;0;0;2;Yes
175;1484;49;0;NE;F;151;5;21/07/2011;12;1;0;1;0;1;1;0;0;0;0;0;0;No
176;1486;46;0;NE;K;229;2;08/05/2013;8;0;0;0;0;0;0;0;0;0;0;0;0;No
177;1494;49;0;SW;O;227;13;20/11/2010;2;4;1;0;0;1;0;2;0;0;0;0;2;No
178;1496;64;0;NE;Q;246;3;20/11/2013;6;2;0;0;0;0;0;0;0;0;0;0;0;No
179;1505;20;0;SE;C;43;4;10/01/2013;10;2;1;0;0;0;0;0;0;0;0;0;0;No
180;1515;24;0;NE;E;158;4;25/03/2013;12;2;0;1;0;0;0;0;0;0;0;0;0;No
181;1518;55;1;SW;O;327;3;26/05/2012;16;1;0;0;0;1;0;0;1;0;0;0;1;No
182;1521;55;0;SE;C;164;5;25/01/2013;2;2;1;0;0;0;0;0;0;0;0;0;0;Yes
183;1526;64;1;SW;H;158;14;22/09/2009;6;5;1;1;1;1;1;0;3;0;0;0;3;Yes
184;1529;NA;1;NE;S;206;5;13/01/2013;10;3;1;0;0;0;0;0;0;0;0;0;0;No
185;1530;23;0;NE;NA;319;2;12/07/2013;4;0;0;0;0;0;0;0;0;0;0;0;0;No
186;1531;19;1;NE;D;39;2;03/07/2013;10;1;0;0;0;0;0;0;0;0;0;0;0;No
187;1543;48;0;SE;C;295;2;07/03/2013;6;0;0;0;1;0;0;0;0;0;0;0;0;No
188;1552;26;0;SE;R;178;5;18/03/2013;14;4;0;1;0;0;0;0;0;0;0;0;0;No
189;1554;30;0;NE;F;128;8;12/05/2010;32;3;1;0;1;0;0;0;3;0;0;0;3;No
190;1577;53;0;SW;G;311;11;11/07/2011;2;2;2;1;2;2;0;0;0;0;0;0;0;No
191;1610;69;1;SW;N;391;13;20/05/2010;8;4;1;1;2;1;3;0;0;0;0;0;0;No
192;1641;23;1;SW;P;88;2;03/07/2012;18;0;1;0;0;0;1;0;0;0;0;0;0;No
193;1652;40;0;SW;H;97;4;05/07/2013;2;2;0;0;0;0;0;0;0;0;0;0;0;No
194;1671;62;1;NE;S;250;17;18/05/2011;12;5;1;1;3;2;1;3;0;1;1;1;6;Yes
195;1672;32;0;NE;D;102;1;09/03/2014;2;0;0;0;0;0;0;0;0;0;0;0;0;No
196;1685;33;0;NE;I;273;5;16/09/2012;14;3;0;0;0;1;0;1;0;0;0;0;1;No
197;1690;53;0;SE;C;362;9;07/11/2010;14;4;1;0;2;0;1;0;1;1;1;0;3;No
198;1705;61;1;SE;A;271;2;23/03/2013;12;0;0;1;0;0;0;0;0;0;0;0;0;No
199;1740;57;1;NE;K;24;2;22/09/2013;8;1;0;0;0;0;0;0;0;0;0;0;0;No
200;1741;53;0;NE;J;280;3;14/07/2012;14;1;0;0;1;0;0;0;0;0;0;0;0;No
201;1748;48;0;SW;H;203;3;05/11/2012;18;2;0;0;1;0;0;0;0;0;0;0;0;No
202;1749;35;0;NE;Q;304;2;20/11/2012;16;0;1;0;0;1;0;0;0;0;0;0;0;No
203;1766;56;1;SE;R;164;6;07/05/2012;12;3;0;1;1;0;0;0;0;0;0;0;0;No
204;1784;32;0;SE;A;32;1;02/05/2013;12;0;0;0;0;0;0;0;0;0;0;0;0;No
205;1785;65;0;SW;N;178;4;11/07/2011;30;2;0;0;1;0;0;0;1;0;0;0;1;No
206;1788;68;0;SE;A;130;3;21/05/2013;12;2;0;0;0;0;0;0;0;0;0;0;0;Yes
207;1796;48;1;SW;M;177;12;20/01/2008;30;3;1;2;2;1;1;2;0;0;0;0;2;No
208;1799;33;0;NE;J;90;5;11/03/2013;10;3;0;1;0;0;0;0;0;0;0;0;0;No
209;1805;59;0;SW;N;292;4;12/03/2013;14;3;0;1;0;0;0;0;0;0;0;0;0;No
210;1813;28;0;NE;K;226;2;05/03/2014;2;1;0;0;0;0;0;0;0;0;0;0;0;No
211;1815;19;0;SW;O;73;4;02/11/2012;12;2;0;1;0;0;0;0;0;0;0;0;0;No
212;1817;65;1;SW;N;123;3;09/07/2013;4;1;0;0;0;0;0;0;0;0;0;0;0;No
213;1825;15;0;SE;C;432;14;13/01/2008;12;3;3;2;2;0;0;1;2;0;0;0;3;No
214;1837;64;0;SW;P;218;3;14/07/2012;22;2;0;0;0;1;0;0;0;0;0;0;0;No
215;1838;NA;0;SW;N;448;16;22/05/2010;12;4;4;5;1;0;0;1;0;1;0;1;3;No
216;1844;NA;0;NE;I;37;6;02/07/2012;16;4;0;0;0;2;0;0;0;0;0;0;0;No
217;1845;47;0;NE;E;246;13;24/01/2011;6;4;1;2;4;0;1;0;0;0;0;0;0;No
218;1846;47;1;NE;J;200;6;19/05/2012;8;3;0;1;0;0;0;0;1;0;0;0;1;No
219;1858;23;0;NE;E;220;8;10/05/2012;16;5;1;0;2;0;0;0;0;1;0;0;1;No
220;1878;52;1;SW;N;238;3;11/05/2012;24;2;0;0;0;0;0;1;0;0;0;0;1;No
221;1886;22;1;SW;N;152;15;28/11/2008;16;6;0;1;4;0;2;1;1;0;0;0;2;No
222;1889;50;0;SE;B;361;8;24/05/2011;6;2;1;0;2;0;0;1;1;1;0;1;4;Yes
223;1923;32;1;NE;J;60;6;27/09/2011;14;2;1;1;2;0;0;0;0;1;0;0;1;No
224;1941;30;1;SW;H;438;15;22/01/2008;12;4;4;0;2;4;0;0;0;1;0;0;1;No
225;1960;46;0;SW;P;58;3;25/03/2014;2;2;0;0;0;0;0;0;0;0;0;0;0;No
226;1962;16;1;NE;E;61;5;13/09/2012;10;2;2;0;0;0;0;0;0;0;0;0;0;No
227;1977;22;0;SW;P;194;4;09/07/2012;14;2;0;0;0;0;0;2;0;0;0;0;2;No
228;1984;69;0;NE;D;239;2;15/09/2013;8;1;0;0;0;0;0;0;0;0;0;0;0;No
229;2020;33;0;SW;G;68;2;09/01/2013;16;1;0;0;0;0;0;1;0;0;0;0;1;No
230;2046;39;0;NW;L;88;1;12/01/2013;16;0;0;0;0;1;0;0;0;0;0;0;0;No
231;2052;18;0;SE;C;300;3;03/03/2013;14;2;0;0;1;0;0;0;0;0;0;0;0;No
232;2062;15;1;NE;S;363;11;09/11/2010;14;4;1;2;1;1;1;0;1;0;0;0;1;No
233;2065;55;0;NE;J;234;4;03/07/2013;10;3;0;0;0;0;0;0;0;0;0;0;0;No
234;2068;59;0;NE;S;191;2;06/11/2013;6;1;0;0;0;0;0;0;0;0;0;0;0;No
235;2073;61;0;SE;R;178;5;10/01/2012;26;3;0;0;0;1;1;0;0;0;0;0;0;No
236;2074;23;0;SW;O;146;2;05/07/2013;10;1;0;0;0;0;0;0;0;0;0;0;0;No
237;2079;29;1;SW;G;374;15;15/11/2008;36;4;3;1;2;1;2;0;2;0;0;0;2;No
238;2081;53;1;SW;H;109;3;06/09/2012;14;1;0;0;1;0;1;0;0;0;0;0;0;No
239;2096;30;0;SE;B;120;4;19/03/2013;14;3;0;0;1;0;0;0;0;0;0;0;0;No
240;2099;31;0;NE;S;210;3;22/01/2013;16;2;1;0;0;0;0;0;0;0;0;0;0;No
241;2108;23;1;SW;NA;282;4;08/11/2012;14;2;0;0;0;1;0;1;0;0;0;0;1;No
242;2119;61;0;NE;D;260;3;05/09/2011;32;2;0;0;0;0;0;0;1;0;0;0;1;No
243;2121;57;0;SW;G;340;8;22/11/2011;12;2;2;1;1;0;0;0;1;0;0;0;1;No
244;2124;56;0;SW;H;441;16;24/05/2008;10;4;2;1;0;2;1;2;3;0;0;0;5;Yes
245;2171;54;1;NE;NA;95;4;12/05/2013;8;2;0;0;0;0;0;0;0;0;0;0;0;No
246;2172;63;1;NE;Q;34;4;27/01/2013;10;2;1;0;0;0;0;0;0;0;0;0;0;No
247;2183;64;0;NE;D;125;3;26/09/2011;32;2;0;0;0;0;0;0;1;0;0;0;1;No
248;2184;25;0;NE;D;329;6;12/05/2012;14;3;0;0;1;0;0;2;0;0;0;0;2;No
249;2185;NA;0;SW;N;79;4;10/01/2013;16;3;0;0;1;0;0;0;0;0;0;0;0;No
250;2198;62;0;SW;M;96;4;14/01/2012;26;2;0;0;0;0;1;0;1;0;0;0;1;No
251;2203;NA;0;NE;E;173;4;04/01/2012;20;2;0;0;1;1;0;0;0;0;0;0;0;No
252;2204;66;0;SE;R;364;11;09/05/2009;16;3;0;1;3;0;0;1;3;0;0;0;4;No
253;2213;63;1;SW;M;212;8;16/03/2011;16;3;1;0;1;2;0;0;1;1;0;0;2;Yes
254;2226;30;0;SW;O;124;4;16/07/2012;16;2;2;0;0;0;0;0;0;0;0;0;0;No
255;2227;27;0;SE;B;167;7;10/09/2011;18;2;1;0;1;3;0;0;0;0;0;0;0;No
256;2238;40;0;NE;NA;80;2;24/05/2013;12;1;0;0;0;0;0;0;0;0;0;0;0;No
257;2245;63;0;SW;H;318;4;08/07/2013;8;2;0;0;0;0;0;0;0;0;0;0;0;No
258;2253;39;0;NE;D;260;1;17/05/2013;12;0;0;0;0;0;0;0;0;0;0;0;0;No
259;2262;29;1;SW;M;148;5;24/09/2012;6;1;0;0;0;0;0;1;0;0;0;0;1;Yes
260;2263;57;1;NE;I;243;3;25/01/2014;4;2;0;0;0;0;0;0;0;0;0;0;0;No
